t,cum_regret_linucb_baseline_mean,cum_regret_linucb_baseline_se,cum_regret_alg1_oracle_mean,cum_regret_alg1_oracle_se,cum_regret_fixed_theta_star,cum_regret_fixed_best_bank
247,21.388549245641183,0.0,46.35591440348651,0.0,0.6554661964525281,0.6554661964525281
248,21.407591230560392,0.0,46.36502246581979,0.0,0.6554661964525281,0.6554661964525281
249,21.421386616912134,0.0,46.43097321324503,0.0,0.6692615828042688,0.6692615828042688
250,21.459478644549332,0.0,46.452479901101945,0.0,0.6708944552096682,0.6708944552096682
251,21.530683555386922,0.0,46.46797465282312,0.0,0.6907907032114585,0.6907907032114585
252,21.562461785270727,0.0,46.50123758791227,0.0,0.692682162247343,0.692682162247343
253,21.79752991305042,0.0,46.80647649568325,0.0,0.692682162247343,0.692682162247343
254,21.868011326178003,0.0,47.02360334607656,0.0,0.692682162247343,0.692682162247343
255,21.89245494496373,0.0,47.12933409024,0.0,0.6954153779256431,0.6954153779256431
256,21.89245494496373,0.0,47.61092238162558,0.0,0.6954153779256431,0.6954153779256431
257,21.91293938028525,0.0,47.7195147564474,0.0,0.6954153779256431,0.6954153779256431
258,21.940232115209533,0.0,47.81071736679203,0.0,0.6954153779256431,0.6954153779256431
259,21.983163749969275,0.0,47.87402148134959,0.0,0.6954153779256431,0.6954153779256431
260,21.983163749969275,0.0,47.924587166928994,0.0,0.6954153779256431,0.6954153779256431
261,21.983207131622343,0.0,47.987449170005526,0.0,0.69545875957871,0.69545875957871
262,22.02326560420419,0.0,48.08884376164801,0.0,0.69545875957871,0.69545875957871
263,22.02326560420419,0.0,48.502946719539516,0.0,0.69545875957871,0.69545875957871
264,22.047961476436836,0.0,48.91436425782973,0.0,0.69545875957871,0.69545875957871
265,22.047961476436836,0.0,49.224623319461664,0.0,0.69545875957871,0.69545875957871
266,22.047961476436836,0.0,49.96628707017065,0.0,0.69545875957871,0.69545875957871
267,22.094223025568475,0.0,50.52200843125695,0.0,0.69545875957871,0.69545875957871
268,22.13818077602307,0.0,51.02924100747676,0.0,0.69545875957871,0.69545875957871
269,22.21737299152999,0.0,51.14229381622925,0.0,0.6985365305031641,0.6985365305031641
270,22.501917075777488,0.0,51.552855907682726,0.0,0.7083796160650798,0.7083796160650798
271,22.539228632161446,0.0,51.898721486181394,0.0,0.7083796160650798,0.7083796160650798
272,22.562405141863312,0.0,52.58988082942323,0.0,0.7083796160650798,0.7083796160650798
273,22.66517352987472,0.0,53.33691413875844,0.0,0.7203684052067133,0.7203684052067133
274,22.755964839466653,0.0,53.9331587871681,0.0,0.7203684052067133,0.7203684052067133
275,22.79207947765753,0.0,54.676299755158006,0.0,0.7203684052067133,0.7203684052067133
